abbreviation,venue_name,search_string
??,The Annals of Statistics,annals of statistics
AAAI,AAAI Conference on Artificial Intelligence,conference on artificial intelligence
AAMAS,International Conference on Autonomous Agents and Multiagent Systems,autonomous agents and multiagent systems
ACL,Annual Meeting of the Association for Computational Linguistics,meeting of the association for computational linguistics
ACML,Asian Conference on Machine Learning,asian conference on machine learning
AIStats,International Conference on Artificial Intelligence and Statistics,artificial intelligence and statistics
ALT,International Conference on Algorithmic Learning Theory,algorithmic learning theory
BMVC,British Machine Vision Conference,british machine vision conference
CHI,ACM Conference on Human Factors in Computing Systems,human factors in computing systems
CIKM,Conference on Information and Knowledge Management,information and knowledge management
COLING,International Committee on Computational Linguistics,international committee on computational linguistics
CoLLAs,Conference on Lifelong Learning Agents,lifelong learning agents
COLT,Conference on Learning Theory,learning theory
CoRL,Conference on Robot Learning,robot learning
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,conference on computer vision and pattern recognition
ECAI,European Conference on Artificial Intelligence,european conference on artificial intelligence
ECCV,European Conference on Computer Vision,european conference on computer vision
ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,european conference on machine learning and principles and practice of knowledge discovery in databases
EMNLP,Empirical Methods in Natural Language Processing,empirical methods in natural language processing
FOCS,Symposium on Foundations of Computer Science,foundations of computer science
ICAPS,International Conference on Automated Planning and Scheduling,automated planning and scheduling
ICCV,International Conference on Computer Vision,international conference on computer vision
ICLR,International Conference on Learning Representations,conference on learning representations
ICML,International Conference on Machine Learning,conference on machine learning
IJCAI,International Joint Conference on Artificial Intelligence,joint conference on artificial intelligence
JMLR,Journal of Machine Learning Research,journal of machine learning research
L4DC,Learning for Dynamics and Control Conference,learning for dynamics and control conference
NeurIPS,Advances in Neural Information Processing Systems,neural information processing
SIGGRAPH,International Conference on Computer Graphics and Interactive Techniques,conference on computer graphics and interactive techniques
SODA,Symposium on Discrete Algorithms,symposium on discrete algorithms
STOC,Symposium on Theory of Computing,symposium on theory of computing
UAI,Conference on Uncertainty in Artificial Intelligence,uncertainty in artificial intelligence
UIST,ACM Symposium on User Interface Software and Technology,user interface software and technology
VLDB,International Conference on Very Large Data Bases,very large data bases
WWW,World Wide Web Conference,world wide web conference
??,Cambridge University Press,cambridge university press
??,MIT Press,mit press
??,Foundations and Trends in Machine Learning,foundations and trends{\textregistered} in machine learning
??,Journal of the Econometric Society,journal of the econometric society
??,Annals of Operations Research,annals of operations research
??,SIAM Journal on Control and Optimization,siam journal on control and optimization
??,Massachusetts Institute of Technology,massachusetts institute of technology
